Participant._id_in_session_display,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.last_request_succeeded,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.session,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.decision,Player.nghb,Player.num_active,Group.id,Group.networktype,Subsession.id,Subsession.round_number,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.special_category
P4,mezubode,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.146.15.54,2015-09-14 08:38:26.724276+00:00,0,24,serejami,1,,,2,B,419,,,,,84,,84,4,serejami,,,0.01,,,,,10,,demo
P3,bujuzali,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.37.200.146,2015-09-14 08:38:25.982072+00:00,0,23,serejami,1,,,3,C,418,,,,,84,,84,4,serejami,,,0.01,,,,,10,,demo
P3,tusopada,,199/199 pages,network,40,ResultsSummary,Disconnected,1,10.45.53.139,2015-09-14 08:43:00.237599+00:00,0,38,hepazete,1,,,2,B,618,100,ACTIVE,3,3,124,Blue network,124,4,hepazete,,,0.01,,,,,10,,demo
P4,terezemi,,200/199 pages,network,40,ResultsSummary,Disconnected,1,10.142.246.171,2015-09-14 08:43:01.270105+00:00,0,39,hepazete,1,,,5,E,619,100,ACTIVE,3,3,124,Blue network,124,4,hepazete,,,0.01,,,,,10,,demo
P2,tutuzogo,,199/199 pages,network,40,ResultsSummary,Disconnected,1,10.150.103.138,2015-09-14 08:42:56.218189+00:00,0,37,hepazete,1,,,4,D,617,67,ACTIVE,2,2,124,Blue network,124,4,hepazete,,,0.01,,,,,10,,demo
P5,nalatuse,,200/199 pages,network,40,ResultsSummary,Disconnected,1,10.79.180.165,2015-09-14 08:46:31.138045+00:00,0,40,hepazete,1,,,3,C,620,100,ACTIVE,3,3,124,Blue network,124,4,hepazete,,,0.01,,,,,10,,demo
P1,tesazoda,,199/199 pages,network,40,ResultsSummary,Disconnected,1,10.236.245.106,2015-09-14 08:42:55.611272+00:00,0,36,hepazete,1,,,1,A,616,33,ACTIVE,1,1,124,Blue network,124,4,hepazete,,,0.01,,,,,10,,demo
P1,tesazoda,,199/199 pages,network,40,ResultsSummary,Disconnected,1,10.236.245.106,2015-09-14 08:42:55.611272+00:00,0,36,hepazete,1,,,4,D,621,67,ACTIVE,2,2,125,Blue network,125,5,hepazete,,,0.01,,,,,10,,demo
P3,tusopada,,199/199 pages,network,40,ResultsSummary,Disconnected,1,10.45.53.139,2015-09-14 08:43:00.237599+00:00,0,38,hepazete,1,,,2,B,623,67,ACTIVE,3,2,125,Blue network,125,5,hepazete,,,0.01,,,,,10,,demo
P2,tutuzogo,,199/199 pages,network,40,ResultsSummary,Disconnected,1,10.150.103.138,2015-09-14 08:42:56.218189+00:00,0,37,hepazete,1,,,3,C,622,100,ACTIVE,3,3,125,Blue network,125,5,hepazete,,,0.01,,,,,10,,demo
P4,terezemi,,200/199 pages,network,40,ResultsSummary,Disconnected,1,10.142.246.171,2015-09-14 08:43:01.270105+00:00,0,39,hepazete,1,,,1,A,624,33,INACTIVE,1,1,125,Blue network,125,5,hepazete,,,0.01,,,,,10,,demo
P5,nalatuse,,200/199 pages,network,40,ResultsSummary,Disconnected,1,10.79.180.165,2015-09-14 08:46:31.138045+00:00,0,40,hepazete,1,,,5,E,625,100,ACTIVE,3,3,125,Blue network,125,5,hepazete,,,0.01,,,,,10,,demo
P2,zuladoda,,0/199 pages,,,,Not visited yet,,,,0,2,mekanevu,0,,,1,A,22,,,,,5,,5,5,mekanevu,,,0.01,,,,,10,,demo
P1,kasagulo,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.138.123.182,2015-09-14 07:52:16.678679+00:00,0,1,mekanevu,1,,,2,B,21,,,,,5,,5,5,mekanevu,,,0.01,,,,,10,,demo
P5,zajajije,,0/199 pages,,,,Not visited yet,,,,0,5,mekanevu,0,,,3,C,25,,,,,5,,5,5,mekanevu,,,0.01,,,,,10,,demo
P3,jukakeso,,0/199 pages,,,,Not visited yet,,,,0,3,mekanevu,0,,,4,D,23,,,,,5,,5,5,mekanevu,,,0.01,,,,,10,,demo
P4,vukejeni,,0/199 pages,,,,Not visited yet,,,,0,4,mekanevu,0,,,5,E,24,,,,,5,,5,5,mekanevu,,,0.01,,,,,10,,demo
P3,bujuzali,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.37.200.146,2015-09-14 08:38:25.982072+00:00,0,23,serejami,1,,,5,E,423,,,,,85,,85,5,serejami,,,0.01,,,,,10,,demo
P5,bepogose,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.71.192.166,2015-09-14 08:38:27.194239+00:00,0,25,serejami,1,,,1,A,425,,,,,85,,85,5,serejami,,,0.01,,,,,10,,demo
P4,mezubode,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.146.15.54,2015-09-14 08:38:26.724276+00:00,0,24,serejami,1,,,2,B,424,,,,,85,,85,5,serejami,,,0.01,,,,,10,,demo
P2,zedaboko,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.149.84.53,2015-09-14 08:38:24.970343+00:00,0,22,serejami,1,,,3,C,422,,,,,85,,85,5,serejami,,,0.01,,,,,10,,demo
P1,rirojolo,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.41.197.194,2015-09-14 08:38:24.182819+00:00,0,21,serejami,1,,,4,D,421,,,,,85,,85,5,serejami,,,0.01,,,,,10,,demo
P1,kasagulo,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.138.123.182,2015-09-14 07:52:16.678679+00:00,0,1,mekanevu,1,,,3,C,26,,,,,6,,6,6,mekanevu,,,0.01,,,,,10,,demo
P4,vukejeni,,0/199 pages,,,,Not visited yet,,,,0,4,mekanevu,0,,,1,A,29,,,,,6,,6,6,mekanevu,,,0.01,,,,,10,,demo
P5,zajajije,,0/199 pages,,,,Not visited yet,,,,0,5,mekanevu,0,,,2,B,30,,,,,6,,6,6,mekanevu,,,0.01,,,,,10,,demo
P3,jukakeso,,0/199 pages,,,,Not visited yet,,,,0,3,mekanevu,0,,,4,D,28,,,,,6,,6,6,mekanevu,,,0.01,,,,,10,,demo
P2,zuladoda,,0/199 pages,,,,Not visited yet,,,,0,2,mekanevu,0,,,5,E,27,,,,,6,,6,6,mekanevu,,,0.01,,,,,10,,demo
P4,mezubode,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.146.15.54,2015-09-14 08:38:26.724276+00:00,0,24,serejami,1,,,2,B,429,,,,,86,,86,6,serejami,,,0.01,,,,,10,,demo
P5,bepogose,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.71.192.166,2015-09-14 08:38:27.194239+00:00,0,25,serejami,1,,,3,C,430,,,,,86,,86,6,serejami,,,0.01,,,,,10,,demo
P2,zedaboko,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.149.84.53,2015-09-14 08:38:24.970343+00:00,0,22,serejami,1,,,1,A,427,,,,,86,,86,6,serejami,,,0.01,,,,,10,,demo
P3,bujuzali,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.37.200.146,2015-09-14 08:38:25.982072+00:00,0,23,serejami,1,,,4,D,428,,,,,86,,86,6,serejami,,,0.01,,,,,10,,demo
P1,rirojolo,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.41.197.194,2015-09-14 08:38:24.182819+00:00,0,21,serejami,1,,,5,E,426,,,,,86,,86,6,serejami,,,0.01,,,,,10,,demo
P5,nalatuse,,200/199 pages,network,40,ResultsSummary,Disconnected,1,10.79.180.165,2015-09-14 08:46:31.138045+00:00,0,40,hepazete,1,,,2,B,630,67,ACTIVE,3,2,126,Blue network,126,6,hepazete,,,0.01,,,,,10,,demo
P4,terezemi,,200/199 pages,network,40,ResultsSummary,Disconnected,1,10.142.246.171,2015-09-14 08:43:01.270105+00:00,0,39,hepazete,1,,,4,D,629,67,INACTIVE,2,2,126,Blue network,126,6,hepazete,,,0.01,,,,,10,,demo
P2,tutuzogo,,199/199 pages,network,40,ResultsSummary,Disconnected,1,10.150.103.138,2015-09-14 08:42:56.218189+00:00,0,37,hepazete,1,,,3,C,627,67,ACTIVE,3,2,126,Blue network,126,6,hepazete,,,0.01,,,,,10,,demo
P3,tusopada,,199/199 pages,network,40,ResultsSummary,Disconnected,1,10.45.53.139,2015-09-14 08:43:00.237599+00:00,0,38,hepazete,1,,,1,A,628,33,INACTIVE,1,1,126,Blue network,126,6,hepazete,,,0.01,,,,,10,,demo
P1,tesazoda,,199/199 pages,network,40,ResultsSummary,Disconnected,1,10.236.245.106,2015-09-14 08:42:55.611272+00:00,0,36,hepazete,1,,,5,E,626,67,ACTIVE,3,2,126,Blue network,126,6,hepazete,,,0.01,,,,,10,,demo
P2,zuladoda,,0/199 pages,,,,Not visited yet,,,,0,2,mekanevu,0,,,1,A,32,,,,,7,,7,7,mekanevu,,,0.01,,,,,10,,demo
P5,zajajije,,0/199 pages,,,,Not visited yet,,,,0,5,mekanevu,0,,,2,B,35,,,,,7,,7,7,mekanevu,,,0.01,,,,,10,,demo
P3,jukakeso,,0/199 pages,,,,Not visited yet,,,,0,3,mekanevu,0,,,3,C,33,,,,,7,,7,7,mekanevu,,,0.01,,,,,10,,demo
P1,kasagulo,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.138.123.182,2015-09-14 07:52:16.678679+00:00,0,1,mekanevu,1,,,4,D,31,,,,,7,,7,7,mekanevu,,,0.01,,,,,10,,demo
P4,vukejeni,,0/199 pages,,,,Not visited yet,,,,0,4,mekanevu,0,,,5,E,34,,,,,7,,7,7,mekanevu,,,0.01,,,,,10,,demo
P2,zedaboko,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.149.84.53,2015-09-14 08:38:24.970343+00:00,0,22,serejami,1,,,5,E,432,,,,,87,,87,7,serejami,,,0.01,,,,,10,,demo
P4,mezubode,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.146.15.54,2015-09-14 08:38:26.724276+00:00,0,24,serejami,1,,,1,A,434,,,,,87,,87,7,serejami,,,0.01,,,,,10,,demo
P5,bepogose,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.71.192.166,2015-09-14 08:38:27.194239+00:00,0,25,serejami,1,,,2,B,435,,,,,87,,87,7,serejami,,,0.01,,,,,10,,demo
P1,rirojolo,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.41.197.194,2015-09-14 08:38:24.182819+00:00,0,21,serejami,1,,,3,C,431,,,,,87,,87,7,serejami,,,0.01,,,,,10,,demo
P3,bujuzali,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.37.200.146,2015-09-14 08:38:25.982072+00:00,0,23,serejami,1,,,4,D,433,,,,,87,,87,7,serejami,,,0.01,,,,,10,,demo
P3,tusopada,,199/199 pages,network,40,ResultsSummary,Disconnected,1,10.45.53.139,2015-09-14 08:43:00.237599+00:00,0,38,hepazete,1,,,4,D,633,67,ACTIVE,2,2,127,Red network,127,7,hepazete,,,0.01,,,,,10,,demo
P2,tutuzogo,,199/199 pages,network,40,ResultsSummary,Disconnected,1,10.150.103.138,2015-09-14 08:42:56.218189+00:00,0,37,hepazete,1,,,3,C,632,100,ACTIVE,3,3,127,Red network,127,7,hepazete,,,0.01,,,,,10,,demo
P4,terezemi,,200/199 pages,network,40,ResultsSummary,Disconnected,1,10.142.246.171,2015-09-14 08:43:01.270105+00:00,0,39,hepazete,1,,,2,B,634,33,ACTIVE,2,1,127,Red network,127,7,hepazete,,,0.01,,,,,10,,demo
P1,tesazoda,,199/199 pages,network,40,ResultsSummary,Disconnected,1,10.236.245.106,2015-09-14 08:42:55.611272+00:00,0,36,hepazete,1,,,5,E,631,67,ACTIVE,2,2,127,Red network,127,7,hepazete,,,0.01,,,,,10,,demo
P5,nalatuse,,200/199 pages,network,40,ResultsSummary,Disconnected,1,10.79.180.165,2015-09-14 08:46:31.138045+00:00,0,40,hepazete,1,,,1,A,635,33,INACTIVE,1,1,127,Red network,127,7,hepazete,,,0.01,,,,,10,,demo
P4,vukejeni,,0/199 pages,,,,Not visited yet,,,,0,4,mekanevu,0,,,3,C,39,,,,,8,,8,8,mekanevu,,,0.01,,,,,10,,demo
P1,kasagulo,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.138.123.182,2015-09-14 07:52:16.678679+00:00,0,1,mekanevu,1,,,1,A,36,,,,,8,,8,8,mekanevu,,,0.01,,,,,10,,demo
P5,zajajije,,0/199 pages,,,,Not visited yet,,,,0,5,mekanevu,0,,,2,B,40,,,,,8,,8,8,mekanevu,,,0.01,,,,,10,,demo
P3,jukakeso,,0/199 pages,,,,Not visited yet,,,,0,3,mekanevu,0,,,4,D,38,,,,,8,,8,8,mekanevu,,,0.01,,,,,10,,demo
P2,zuladoda,,0/199 pages,,,,Not visited yet,,,,0,2,mekanevu,0,,,5,E,37,,,,,8,,8,8,mekanevu,,,0.01,,,,,10,,demo
P2,zedaboko,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.149.84.53,2015-09-14 08:38:24.970343+00:00,0,22,serejami,1,,,1,A,437,,,,,88,,88,8,serejami,,,0.01,,,,,10,,demo
P3,bujuzali,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.37.200.146,2015-09-14 08:38:25.982072+00:00,0,23,serejami,1,,,3,C,438,,,,,88,,88,8,serejami,,,0.01,,,,,10,,demo
P5,bepogose,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.71.192.166,2015-09-14 08:38:27.194239+00:00,0,25,serejami,1,,,2,B,440,,,,,88,,88,8,serejami,,,0.01,,,,,10,,demo
P4,mezubode,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.146.15.54,2015-09-14 08:38:26.724276+00:00,0,24,serejami,1,,,4,D,439,,,,,88,,88,8,serejami,,,0.01,,,,,10,,demo
